Batsman Name,Runs,Balls,4s,6s,Strike Rates
Mohammad Rizwan †,15,14,0,1,107.14
Babar Azam (c),32,28,2,0,114.28
Mohammad Haris,8,12,1,0,66.66
Shan Masood,38,28,2,1,135.71
Iftikhar Ahmed,0,6,0,0,0.00
Shadab Khan,20,14,2,0,142.85
Mohammad Nawaz,5,7,0,0,71.42
Mohammad Wasim,4,8,0,0,50.00
Shaheen Shah Afridi,5,3,1,0,166.66
Haris Rauf,1,1,0,0,100.00
Jos Buttler (c)†,26,17,3,1,152.94
Alex Hales,1,2,0,0,50.00
Phil Salt,10,9,2,0,111.11
Ben Stokes,52,49,5,1,106.12
Harry Brook,20,23,1,0,86.95
Moeen Ali,19,13,3,0,146.15
Liam Livingstone,1,1,0,0,100.00
KL Rahul,5,5,1,0,100.00
Rohit Sharma (c),27,28,4,0,96.42
Virat Kohli,50,40,4,1,125.00
Suryakumar Yadav,14,10,1,1,140.00
Hardik Pandya,63,33,4,5,190.90
Rishabh Pant †,6,4,1,0,150.00
Ravichandran Ashwin,0,0,0,0,0
Jos Buttler (c)†,80,49,9,3,163.26
Alex Hales,86,47,4,7,182.97
Finn Allen,4,3,1,0,133.33
Devon Conway †,21,20,3,0,105.00
Kane Williamson (c),46,42,1,1,109.52
Glenn Phillips,6,8,1,0,75.00
Daryl Mitchell,53,35,3,1,151.42
James Neesham,16,12,1,0,133.33
Mohammad Rizwan †,57,43,5,0,132.55
Babar Azam (c),53,42,7,0,126.19
Mohammad Haris,30,26,2,1,115.38
Shan Masood,3,4,0,0,75.00
Iftikhar Ahmed,0,0,0,0,0
KL Rahul,51,35,3,3,145.71
Rohit Sharma (c),15,13,2,0,115.38
Virat Kohli,26,25,2,0,104.00
Suryakumar Yadav,61,25,6,4,244.00
Rishabh Pant †,3,5,0,0,60.00
Hardik Pandya,18,18,2,0,100.00
Axar Patel,0,0,0,0,0
Wessly Madhevere,0,1,0,0,0.00
Craig Ervine (c),13,15,2,0,86.66
Regis Chakabva †,0,6,0,0,0.00
Sean Williams,11,18,0,1,61.11
Sikandar Raza,34,24,3,0,141.66
Tony Munyonga,5,4,1,0,125.00
Ryan Burl,35,22,5,1,159.09
Wellington Masakadza,1,7,0,0,14.28
Richard Ngarava,1,2,0,0,50.00
Tendai Chatara,4,4,1,0,100.00
Blessing Muzarabani,0,2,0,0,0.00
Najmul Hossain Shanto,54,48,7,0,112.50
Litton Das,10,8,0,1,125.00
Soumya Sarkar,20,17,1,1,117.64
Shakib Al Hasan (c),0,1,0,0,0.00
Afif Hossain,24,20,3,0,120.00
Mosaddek Hossain,5,11,0,0,45.45
Nurul Hasan †,0,3,0,0,0.00
Taskin Ahmed,1,5,0,0,20.00
Nasum Ahmed,7,6,1,0,116.66
Mustafizur Rahman,0,1,0,0,0.00
Mohammad Rizwan †,32,32,2,1,100.00
Babar Azam (c),25,33,2,0,75.75
Mohammad Nawaz,4,11,0,0,36.36
Mohammad Haris,31,18,1,2,172.22
Shan Masood,24,14,2,0,171.42
Iftikhar Ahmed,1,3,0,0,33.33
Shadab Khan,0,0,0,0,0
Stephan Myburgh,37,30,7,0,123.33
Max O'Dowd,29,31,1,1,93.54
Tom Cooper,35,19,2,2,184.21
Colin Ackermann,41,26,3,2,157.69
Bas de Leede,1,7,0,0,14.28
Scott Edwards (c)†,12,7,2,0,171.42
Quinton de Kock †,13,13,1,1,100.00
Temba Bavuma (c),20,20,2,0,100.00
Rilee Rossouw,25,19,2,0,131.57
Aiden Markram,17,13,2,0,130.76
David Miller,17,17,1,0,100.00
Heinrich Klaasen,21,18,0,1,116.66
Wayne Parnell,0,2,0,0,0.00
Keshav Maharaj,13,12,0,1,108.33
Kagiso Rabada,9,8,0,0,112.50
Anrich Nortje,4,1,1,0,400.00
Pathum Nissanka,67,45,2,5,148.88
Kusal Mendis †,18,14,1,1,128.57
Dhananjaya de Silva,9,11,0,0,81.81
Charith Asalanka,8,9,0,0,88.88
Bhanuka Rajapaksa,22,22,3,0,100.00
