Batsman,Runs,Balls,4s,6s,Strike_Rates,Country
Michael van Lingen,3,6,0,0,50,Namibia
Divan la Cock,9,9,1,0,100,Namibia
Jan Nicol Loftie-Eaton,20,12,1,2,166.66,Namibia
Stephan Baard,26,24,2,0,108.33,Namibia
Gerhard Erasmus(c),20,24,0,0,83.33,Namibia
Jan Frylinck,44,28,4,0,157.14,Namibia
David Wiese,0,1,0,0,0,Namibia
JJ Smit,31,16,2,2,193.75,Namibia
Pathum Nissanka,9,10,1,0,90,Sri Lanka
Kusal Mendis,6,6,0,0,100,Sri Lanka
Dhananjaya de Silva,12,11,1,0,109.09,Sri Lanka
Danushka Gunathilaka,0,1,0,0,0,Sri Lanka
Bhanuka Rajapaksa,20,21,2,0,95.23,Sri Lanka
Dasun Shanaka(c),29,23,2,1,126.08,Sri Lanka
Wanindu Hasaranga de Silva,4,8,0,0,50,Sri Lanka
Chamika Karunaratne,5,8,0,0,62.5,Sri Lanka
Pramod Madushan,0,0,0,0,-,Sri Lanka
Dushmantha Chameera,8,15,0,0,53.33,Sri Lanka
Maheesh Theekshana,11,11,0,1,100,Sri Lanka
Chirag Suri,12,20,1,0,60,U.A.E.
Muhammad Waseem,41,47,1,2,87.23,U.A.E.
Kashif Daud,15,14,0,1,107.14,U.A.E.
Vriitya Aravind,18,21,0,0,85.71,U.A.E.
Zawar Farid,2,4,0,0,50,U.A.E.
Basil Hameed,4,4,1,0,100,U.A.E.
Chundangapoyil Rizwan(c),1,2,0,0,50,U.A.E.
Aayan Afzal Khan,5,7,0,0,71.42,U.A.E.
Karthik Meiyappan,0,0,0,0,-,U.A.E.
Junaid Siddique,0,1,0,0,0,U.A.E.
Vikramjit Singh,10,7,2,0,142.85,Netherlands
Max O'Dowd,23,18,3,1,127.77,Netherlands
Bas de Leede,14,18,1,0,77.77,Netherlands
Colin Ackermann,17,19,1,0,89.47,Netherlands
Tom Cooper,8,16,0,0,50,Netherlands
Scott Edwards(c),16,19,0,0,84.21,Netherlands
Roelof van der Merwe,0,2,0,0,0,Netherlands
