Bowler,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Country
Maheesh Theekshana,4,0,23,1,5.75,7,0,0,Sri Lanka
Dushmantha Chameera,4,0,39,1,9.75,6,3,1,Sri Lanka
Pramod Madushan,4,0,37,2,9.25,6,3,1,Sri Lanka
Chamika Karunaratne,4,0,36,1,9,7,3,1,Sri Lanka
Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,Sri Lanka
Gerhard Erasmus,1,0,8,0,8,1,1,0,Namibia
David Wiese,4,0,16,2,4,13,1,0,Namibia
Bernard Scholtz,4,0,18,2,4.5,10,1,0,Namibia
Ben Shikongo,3,1,22,2,7.33,6,3,0,Namibia
JJ Smit,3,0,16,1,5.33,7,0,0,Namibia
Jan Frylinck,4,0,26,2,6.5,10,0,2,Namibia
Fred Klaassen,4,0,13,2,3.25,18,0,0,Netherlands
Tim Pringle,4,0,13,1,3.25,11,0,0,Netherlands
Logan van Beek,2,0,19,0,9.5,5,0,2,Netherlands
Bas de Leede,3,0,19,3,6.33,9,2,0,Netherlands
Paul van Meekeren,4,0,21,0,5.25,11,1,0,Netherlands
Roelof van der Merwe,3,0,19,1,6.33,7,0,1,Netherlands
Junaid Siddique,4,0,24,3,6,10,2,0,U.A.E.
Basil Hameed,1,0,7,1,7,4,0,1,U.A.E.
Aayan Afzal Khan,3,0,15,1,5,8,1,0,U.A.E.
Karthik Meiyappan,4,0,22,1,5.5,11,2,0,U.A.E.
Zahoor Khan,4,0,11,1,2.75,14,0,0,U.A.E.
Zawar Farid,2.5,0,24,0,8.47,2,2,0,U.A.E.
Kashif Daud,1,0,5,0,5,1,0,0,U.A.E.
Kyle Mayers,2,0,24,0,12,5,5,0,West Indies
Akeal Hosein,4,0,31,0,7.75,8,2,1,West Indies
Alzarri Joseph,4,0,28,2,7,9,3,0,West Indies
Obed McCoy,3,0,25,0,8.33,6,4,0,West Indies
Jason Holder,3,0,14,2,4.66,8,1,0,West Indies
Odean Smith,4,0,31,1,7.75,6,3,0,West Indies
Mark Watt,4,0,12,3,3,16,1,0,Scotland
Brad Wheal,4,0,32,2,8,10,4,1,Scotland
Josh Davey,3,0,34,1,11.33,8,4,2,Scotland
Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,Scotland
Michael Leask,4,0,15,2,3.75,11,0,0,Scotland
Josh Little,4,0,24,3,6,11,3,0,Ireland
Mark Adair,4,0,39,2,9.75,6,3,1,Ireland
Barry McCarthy,4,0,24,0,6,11,2,0,Ireland
Curtis Campher,3,0,29,0,9.66,6,2,2,Ireland
Simi Singh,3,0,31,2,10.33,5,2,2,Ireland
Gareth Delany,2,0,21,0,10.5,4,2,1,Ireland
Richard Ngarava,4,0,22,2,5.5,13,3,0,Zimbabwe
Tendai Chatara,4,0,22,2,5.5,13,1,1,Zimbabwe
Blessing Muzarabani,4,0,23,3,5.75,14,0,2,Zimbabwe
Luke Jongwe,2,0,24,0,12,1,4,0,Zimbabwe
Sean Williams,3,0,20,1,6.66,3,0,0,Zimbabwe
Sikandar Raza,3,0,22,1,7.33,8,1,1,Zimbabwe
Fred Klaassen,3,0,15,0,5,11,1,0,Netherlands
Tim Pringle,3,0,15,1,5,8,0,0,Netherlands
Bas de Leede,3,0,18,2,6,6,1,0,Netherlands
Colin Ackermann,3,0,17,1,5.66,8,2,0,Netherlands
Paul van Meekeren,4,0,18,1,4.5,11,1,0,Netherlands
Timm van der Gugten,3,0,29,0,9.66,4,1,1,Netherlands
Roelof van der Merwe,1,0,6,1,6,1,0,0,Netherlands
Bernard Scholtz,4,0,21,1,5.25,10,0,1,Namibia
David Wiese,2.3,0,22,0,8.8,4,3,0,Namibia
Gerhard Erasmus,3,0,13,0,4.33,8,0,0,Namibia
Ben Shikongo,1,0,18,0,18,1,0,2,Namibia
JJ Smit,4,0,24,2,6,9,2,0,Namibia
Jan Frylinck,4,1,16,1,4,11,1,0,Namibia
Jan Nicol Loftie-Eaton,1,0,8,0,8,2,1,0,Namibia
Junaid Siddique,4,0,36,0,9,8,2,1,U.A.E.
Kashif Daud,1,0,14,0,14,0,2,0,U.A.E.
Zahoor Khan,4,0,26,2,6.5,10,3,0,U.A.E.
Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,U.A.E.
Aryan Lakra,3,0,24,1,8,5,3,0,U.A.E.
Karthik Meiyappan,4,0,19,3,4.75,12,0,1,U.A.E.
